locus	normal.female1	normal.female2	normal.female3	normal.female4	normal.female5	normal.male1	normal.male2	normal.male3	normal.male4	normal.male5
1:1-100	-0.766751924810627	-0.199452050096502	0.000315774964881397	-0.35492060047925	-0.118266420403903	0.472375124416581	-0.273607399625597	0.0578685295831522	-0.0427277754119551	-0.163181712020809
1:501-600	-0.187463574277616	0.111947824426623	0.202930124322141	0.359206693171976	0.438857798233624	0.355317879701007	-0.737899430746508	0.0779445399392577	0.0400047336994036	0.182361445601076
1:1001-1100	-0.629687701818538	0.228233464771326	-0.045783792674111	-0.188150628074027	-0.0910183253550686	0.16197954000234	-0.180484826969521	-0.114766230239384	-0.417737813101505	-0.267944154272579
1:1501-1600	-0.00503547418976437	-0.593451202422643	-0.399237743050512	0.132975534374401	0.695824414518386	0.0443295058871947	-0.398498500278207	-0.00339419907923127	0.163304978350878	0.280863047478939
1:2001-2100	0.00654479521578478	-0.572224784755099	-0.180095153816233	0.43257464088132	-0.446992535757544	0.0599028447316847	-0.321331614959208	0.559651971739196	0.0758212270864592	0.211338001252514
1:2501-2600	0.35916908335761	-0.0373561021353362	-0.254664250568893	0.171549211014771	-0.134536334418722	-0.149265302152914	0.348335704726602	-0.475252252909919	-0.16035076070429	0.188895861230648
1:3001-3100	0.029535063851288	0.0171984663302716	0.0295049230902273	-0.00509242323532254	-0.0608318895065291	-0.121068712673531	0.409047476747564	0.443446995861053	-0.45934927143675	0.389969424865808
1:3501-3600	0.0421038777242238	0.252010966818321	0.118086557829764	0.172409734494024	0.178932961394113	-0.335736058753595	0.820474288704109	-0.202737740846665	0.0859948077348004	0.343351188618376
1:4001-4100	0.212662547425218	0.213676051234739	0.034737485314104	0.255134622784212	-0.135171423669485	-0.166409341562783	0.475679394251987	0.020895107384984	-0.116634655209062	-0.216835381486271
1:4501-4600	-0.255968730124929	-0.109852910764886	0.619947695649617	0.118053339247604	0.0371665256746565	0.0833993391813442	0.468571288711047	-0.390019359934827	0.100925884140365	-0.433007150317135
1:5001-5100	-0.290643826028873	0.35146249887957	0.0774012401971475	0.19269078390116	-0.0185661415769479	0.235973117200743	0.440754497440576	0.647636714741164	-0.295540291266887	0.320831008658008
1:5501-5600	-0.0433152507090876	0.844390801162995	0.504554938114828	0.257753736769409	-0.437368473533396	0.482344690546262	-0.750684601676385	0.121020124678788	-0.428535382747755	0.0632978866103922
1:6001-6100	0.124478637453468	-0.331272088284598	0.344666472117139	0.81290891167705	-0.0714581513632584	0.613984396272341	0.623482770085609	-0.299371728189875	0.209221109532814	0.268863163288741
1:6501-6600	0.453496677883374	0.124797243090835	-0.07636435220626	-0.227486091101096	0.119429212564555	-0.120608765552012	0.133331432497199	0.495176202971169	0.333221504180552	-0.218634838492749
1:7001-7100	-0.192935266997555	0.281316966729136	-0.715883734454818	-0.00412127850699613	0.459328266610513	-0.216911407052649	0.526352565618885	0.593010906405964	-0.479578675798212	-0.090731652009988
1:7501-7600	-0.0104337189232355	-0.00977683186803854	0.068059307240553	-0.318833170240492	-0.0535257032218059	0.0865436521425317	0.0888831124509539	-0.164831834171968	0.214844211817926	-0.528283123444233
1:8001-8100	-0.458284660563206	0.142856581444161	0.193077982628829	0.304790019920099	-0.18223004430926	-0.155477463619046	-0.0625556692398793	-0.0730500870787317	-0.522354205089396	-0.687957450757167
1:8501-8600	-0.0661301425129165	-0.0102048910478166	0.0777509935920773	-0.290675967015799	-0.0423321534666639	-0.0579205143169839	-0.115767638545517	0.356863251954822	0.282541553304681	0.31576905712815
1:9001-9100	-0.0795053491721212	-0.0123738275477178	0.242987817787944	-0.689233318843088	0.553274001247378	-0.257811576033883	-0.101484029222351	0.472634161343507	-0.51583038933793	0.0366654520953375
1:9501-9600	-0.105204517994116	-0.242315699281455	0.304776572088143	-0.0984685556397245	0.336027679907412	0.579767080089008	-0.0651869939267886	0.129084929518384	0.186741265275586	0.329445689880037
1:10001-10100	0.227928846559473	0.302242649530021	-0.362506171564541	-0.161481348488307	0.380114437725773	0.0141401047726715	-0.10050122615575	-0.357708467149787	-0.150722938205385	-0.0807093657203346
1:10501-10600	0.178073109734199	0.251587194060003	-0.0945962436243271	0.408063732261441	-0.089150192610726	-0.354666634787328	-0.0349005303274212	-0.0555311177950997	-0.56841102788813	0.327377713260124
1:11001-11100	-0.118998963595896	-0.567378501480269	0.270250915893179	0.336756477102491	-0.0428492915968023	-0.372431293794137	-0.0728524175713966	0.0476603801197336	-0.0789263783946449	0.262364404649943
1:11501-11600	0.414011638107848	-0.151845821944363	0.1458261899626	0.37992046127028	0.11972828730484	0.146534329720989	-0.455076601605373	-0.592942365150588	-0.047767991705344	-0.245248107806898
1:12001-12100	0.632187056332294	-0.0398757078754855	0.0491544531039338	-0.263198882336278	0.455270533592172	0.136951821640423	0.764060026078813	0.618569245930954	-0.179157544385397	-0.163479055981981
1:12501-12600	-0.295503664539324	0.313003229575245	0.3581597425255	0.866580644297445	0.0549717574901598	-0.0372359160655356	-0.431660749004385	-0.285097612153594	-0.327682711501817	0.288818067924967
1:13001-13100	-0.0595134373110134	0.199942318727701	0.0819974763739299	-0.286371504035088	-0.173736967334757	-0.130123130579826	0.613929448825821	-0.496067175769185	-0.0945580855313868	0.371070657444331
1:13501-13600	0.0428417829240769	-0.198506773007786	0.00494611969396178	-0.281522641045059	-0.219535121557616	-0.716574141921186	-0.234900934757613	0.00417039534354527	-0.385698130284564	0.552984931955514
1:14001-14100	-0.301656699789286	0.162475310459007	0.0941795467092689	-0.458329231324202	-0.274361458633787	-0.0389731101250148	0.0447021105703236	-0.121956977313691	-0.407444241556846	-0.0797531280507695
