chr	start	end	arm	locus
1	1	1	100	p	1:1-100
2	1	501	600	p	1:501-600
3	1	1001	1100	p	1:1001-1100
4	1	1501	1600	p	1:1501-1600
5	1	2001	2100	p	1:2001-2100
6	1	2501	2600	p	1:2501-2600
7	1	3001	3100	p	1:3001-3100
8	1	3501	3600	p	1:3501-3600
9	1	4001	4100	p	1:4001-4100
10	1	4501	4600	p	1:4501-4600
11	1	5001	5100	p	1:5001-5100
12	1	5501	5600	p	1:5501-5600
13	1	6001	6100	p	1:6001-6100
14	1	6501	6600	p	1:6501-6600
15	1	7001	7100	p	1:7001-7100
16	1	7501	7600	p	1:7501-7600
17	1	8001	8100	p	1:8001-8100
18	1	8501	8600	p	1:8501-8600
19	1	9001	9100	p	1:9001-9100
20	1	9501	9600	p	1:9501-9600
21	1	10001	10100	p	1:10001-10100
22	1	10501	10600	p	1:10501-10600
23	1	11001	11100	p	1:11001-11100
24	1	11501	11600	p	1:11501-11600
25	1	12001	12100	p	1:12001-12100
26	1	12501	12600	p	1:12501-12600
27	1	13001	13100	p	1:13001-13100
28	1	13501	13600	p	1:13501-13600
29	1	14001	14100	p	1:14001-14100
30	1	14501	14600	p	1:14501-14600
31	1	15001	15100	p	1:15001-15100
32	1	15501	15600	p	1:15501-15600
33	1	16001	16100	p	1:16001-16100
34	1	16501	16600	p	1:16501-16600
35	1	17001	17100	p	1:17001-17100
36	1	17501	17600	p	1:17501-17600
37	1	18001	18100	p	1:18001-18100
38	1	18501	18600	p	1:18501-18600
39	1	19001	19100	p	1:19001-19100
40	1	19501	19600	p	1:19501-19600
41	1	20001	20100	p	1:20001-20100
42	1	20501	20600	p	1:20501-20600
43	1	21001	21100	p	1:21001-21100
44	1	21501	21600	p	1:21501-21600
45	1	22001	22100	p	1:22001-22100
46	1	22501	22600	p	1:22501-22600
47	1	23001	23100	p	1:23001-23100
48	1	23501	23600	p	1:23501-23600
49	1	24001	24100	p	1:24001-24100
50	1	24501	24600	p	1:24501-24600
51	1	25001	25100	p	1:25001-25100
52	1	25501	25600	p	1:25501-25600
53	1	26001	26100	p	1:26001-26100
54	1	26501	26600	p	1:26501-26600
55	1	27001	27100	p	1:27001-27100
56	1	27501	27600	p	1:27501-27600
57	1	28001	28100	p	1:28001-28100
58	1	28501	28600	p	1:28501-28600
59	1	29001	29100	p	1:29001-29100
60	1	29501	29600	p	1:29501-29600
61	1	30001	30100	p	1:30001-30100
62	1	30501	30600	p	1:30501-30600
63	1	31001	31100	p	1:31001-31100
64	1	31501	31600	p	1:31501-31600
65	1	32001	32100	p	1:32001-32100
66	1	32501	32600	p	1:32501-32600
67	1	33001	33100	p	1:33001-33100
68	1	33501	33600	p	1:33501-33600
69	1	34001	34100	p	1:34001-34100
70	1	34501	34600	p	1:34501-34600
71	1	35001	35100	p	1:35001-35100
72	1	35501	35600	p	1:35501-35600
73	1	36001	36100	p	1:36001-36100
74	1	36501	36600	p	1:36501-36600
75	1	37001	37100	p	1:37001-37100
76	1	37501	37600	p	1:37501-37600
77	1	38001	38100	p	1:38001-38100
78	1	38501	38600	p	1:38501-38600
79	1	39001	39100	p	1:39001-39100
80	1	39501	39600	p	1:39501-39600
81	1	40001	40100	p	1:40001-40100
82	1	40501	40600	p	1:40501-40600
83	1	41001	41100	p	1:41001-41100
84	1	41501	41600	p	1:41501-41600
85	1	42001	42100	p	1:42001-42100
86	1	42501	42600	p	1:42501-42600
87	1	43001	43100	p	1:43001-43100
88	1	43501	43600	p	1:43501-43600
89	1	44001	44100	p	1:44001-44100
90	1	44501	44600	p	1:44501-44600
91	1	45001	45100	p	1:45001-45100
92	1	45501	45600	p	1:45501-45600
93	1	46001	46100	p	1:46001-46100
94	1	46501	46600	p	1:46501-46600
95	1	47001	47100	p	1:47001-47100
96	1	47501	47600	p	1:47501-47600
97	1	48001	48100	p	1:48001-48100
98	1	48501	48600	p	1:48501-48600
99	1	49001	49100	p	1:49001-49100
100	1	49501	49600	p	1:49501-49600
101	1	50001	50100	q	1:50001-50100
102	1	50501	50600	q	1:50501-50600
103	1	51001	51100	q	1:51001-51100
104	1	51501	51600	q	1:51501-51600
105	1	52001	52100	q	1:52001-52100
106	1	52501	52600	q	1:52501-52600
107	1	53001	53100	q	1:53001-53100
108	1	53501	53600	q	1:53501-53600
109	1	54001	54100	q	1:54001-54100
110	1	54501	54600	q	1:54501-54600
111	1	55001	55100	q	1:55001-55100
112	1	55501	55600	q	1:55501-55600
113	1	56001	56100	q	1:56001-56100
114	1	56501	56600	q	1:56501-56600
115	1	57001	57100	q	1:57001-57100
116	1	57501	57600	q	1:57501-57600
117	1	58001	58100	q	1:58001-58100
118	1	58501	58600	q	1:58501-58600
119	1	59001	59100	q	1:59001-59100
120	1	59501	59600	q	1:59501-59600
121	1	60001	60100	q	1:60001-60100
122	1	60501	60600	q	1:60501-60600
123	1	61001	61100	q	1:61001-61100
124	1	61501	61600	q	1:61501-61600
125	1	62001	62100	q	1:62001-62100
126	1	62501	62600	q	1:62501-62600
127	1	63001	63100	q	1:63001-63100
128	1	63501	63600	q	1:63501-63600
129	1	64001	64100	q	1:64001-64100
130	1	64501	64600	q	1:64501-64600
131	1	65001	65100	q	1:65001-65100
132	1	65501	65600	q	1:65501-65600
133	1	66001	66100	q	1:66001-66100
134	1	66501	66600	q	1:66501-66600
135	1	67001	67100	q	1:67001-67100
136	1	67501	67600	q	1:67501-67600
137	1	68001	68100	q	1:68001-68100
138	1	68501	68600	q	1:68501-68600
139	1	69001	69100	q	1:69001-69100
140	1	69501	69600	q	1:69501-69600
141	1	70001	70100	q	1:70001-70100
142	1	70501	70600	q	1:70501-70600
143	1	71001	71100	q	1:71001-71100
144	1	71501	71600	q	1:71501-71600
145	1	72001	72100	q	1:72001-72100
146	1	72501	72600	q	1:72501-72600
147	1	73001	73100	q	1:73001-73100
148	1	73501	73600	q	1:73501-73600
149	1	74001	74100	q	1:74001-74100
150	1	74501	74600	q	1:74501-74600
151	1	75001	75100	q	1:75001-75100
152	1	75501	75600	q	1:75501-75600
153	1	76001	76100	q	1:76001-76100
154	1	76501	76600	q	1:76501-76600
155	1	77001	77100	q	1:77001-77100
156	1	77501	77600	q	1:77501-77600
157	1	78001	78100	q	1:78001-78100
158	1	78501	78600	q	1:78501-78600
159	1	79001	79100	q	1:79001-79100
160	1	79501	79600	q	1:79501-79600
161	1	80001	80100	q	1:80001-80100
162	1	80501	80600	q	1:80501-80600
163	1	81001	81100	q	1:81001-81100
164	1	81501	81600	q	1:81501-81600
165	1	82001	82100	q	1:82001-82100
166	1	82501	82600	q	1:82501-82600
167	1	83001	83100	q	1:83001-83100
168	1	83501	83600	q	1:83501-83600
169	1	84001	84100	q	1:84001-84100
170	1	84501	84600	q	1:84501-84600
171	1	85001	85100	q	1:85001-85100
172	1	85501	85600	q	1:85501-85600
173	1	86001	86100	q	1:86001-86100
174	1	86501	86600	q	1:86501-86600
175	1	87001	87100	q	1:87001-87100
176	1	87501	87600	q	1:87501-87600
177	1	88001	88100	q	1:88001-88100
178	1	88501	88600	q	1:88501-88600
179	1	89001	89100	q	1:89001-89100
180	1	89501	89600	q	1:89501-89600
181	1	90001	90100	q	1:90001-90100
182	1	90501	90600	q	1:90501-90600
183	1	91001	91100	q	1:91001-91100
184	1	91501	91600	q	1:91501-91600
185	1	92001	92100	q	1:92001-92100
186	1	92501	92600	q	1:92501-92600
187	1	93001	93100	q	1:93001-93100
188	1	93501	93600	q	1:93501-93600
189	1	94001	94100	q	1:94001-94100
190	1	94501	94600	q	1:94501-94600
191	1	95001	95100	q	1:95001-95100
192	1	95501	95600	q	1:95501-95600
193	1	96001	96100	q	1:96001-96100
194	1	96501	96600	q	1:96501-96600
195	1	97001	97100	q	1:97001-97100
196	1	97501	97600	q	1:97501-97600
197	1	98001	98100	q	1:98001-98100
198	1	98501	98600	q	1:98501-98600
199	1	99001	99100	q	1:99001-99100
200	1	99501	99600	q	1:99501-99600
201	2	1	100	p	2:1-100
202	2	501	600	p	2:501-600
203	2	1001	1100	p	2:1001-1100
204	2	1501	1600	p	2:1501-1600
205	2	2001	2100	p	2:2001-2100
206	2	2501	2600	p	2:2501-2600
207	2	3001	3100	p	2:3001-3100
208	2	3501	3600	p	2:3501-3600
209	2	4001	4100	p	2:4001-4100
210	2	4501	4600	p	2:4501-4600
211	2	5001	5100	p	2:5001-5100
212	2	5501	5600	p	2:5501-5600
213	2	6001	6100	p	2:6001-6100
214	2	6501	6600	p	2:6501-6600
215	2	7001	7100	p	2:7001-7100
216	2	7501	7600	p	2:7501-7600
217	2	8001	8100	p	2:8001-8100
218	2	8501	8600	p	2:8501-8600
219	2	9001	9100	p	2:9001-9100
220	2	9501	9600	p	2:9501-9600
221	2	10001	10100	p	2:10001-10100
222	2	10501	10600	p	2:10501-10600
223	2	11001	11100	p	2:11001-11100
224	2	11501	11600	p	2:11501-11600
225	2	12001	12100	p	2:12001-12100
226	2	12501	12600	p	2:12501-12600
227	2	13001	13100	p	2:13001-13100
228	2	13501	13600	p	2:13501-13600
229	2	14001	14100	p	2:14001-14100
230	2	14501	14600	p	2:14501-14600
231	2	15001	15100	p	2:15001-15100
232	2	15501	15600	p	2:15501-15600
233	2	16001	16100	p	2:16001-16100
234	2	16501	16600	p	2:16501-16600
235	2	17001	17100	p	2:17001-17100
236	2	17501	17600	p	2:17501-17600
237	2	18001	18100	p	2:18001-18100
238	2	18501	18600	p	2:18501-18600
239	2	19001	19100	p	2:19001-19100
240	2	19501	19600	p	2:19501-19600
241	2	20001	20100	p	2:20001-20100
242	2	20501	20600	p	2:20501-20600
243	2	21001	21100	p	2:21001-21100
244	2	21501	21600	p	2:21501-21600
245	2	22001	22100	p	2:22001-22100
246	2	22501	22600	p	2:22501-22600
247	2	23001	23100	p	2:23001-23100
248	2	23501	23600	p	2:23501-23600
249	2	24001	24100	p	2:24001-24100
250	2	24501	24600	p	2:24501-24600
251	2	25001	25100	p	2:25001-25100
252	2	25501	25600	p	2:25501-25600
253	2	26001	26100	p	2:26001-26100
254	2	26501	26600	p	2:26501-26600
255	2	27001	27100	p	2:27001-27100
256	2	27501	27600	p	2:27501-27600
