locus	tumor.female1	tumor.female2	tumor.female3	tumor.female4	tumor.female5	tumor.male1	tumor.male2	tumor.male3	tumor.male4	tumor.male5
1:1-100	-1.15422124161037	-0.680072982187127	-0.636237999547437	-0.43414463633496	-0.0737655822950535	0.394169395427959	0.40422974229622	-0.0954151578631837	-0.0523221895300406	-0.185354369592768
1:501-600	-0.876332163420393	0.217284093232992	-0.465297153126872	0.237288644727992	0.181513320165116	-0.287060449047008	-0.289038208882342	0.311175612329554	-0.328778230785551	0.378141192221535
1:1001-1100	-1.20054479768757	-0.0149482884959526	0.355330536142759	0.737005182397073	-0.33676869095524	0.152225097444734	0.189989237243209	-0.0221501963426538	-0.123090030083106	0.035198395051339
1:1501-1600	-1.05500113957196	-0.253187093104686	0.169376417529756	0.419348230227271	0.402492062490869	-0.233471803884306	-0.131891594478686	-0.233462534791733	-0.329690079788952	0.254104502553871
1:2001-2100	-0.500670133087616	-0.378677859472096	0.325686723297655	0.477429006795829	0.114136310630999	0.13107477778336	-0.115860868645092	0.471711832643162	0.0790106616004676	-0.0707555061883657
1:2501-2600	-0.945586832708805	-0.155534352974021	-0.171302917738487	0.154235645363658	-0.056507456607386	-0.287207757599668	-0.190661365460236	-0.143044194952085	-0.0474497219963236	0.094309606832203
1:3001-3100	-1.17139237909275	-0.368784400067659	-0.113335008149299	-0.279085954599276	0.351853376780371	0.290247402898361	0.252248613774041	0.483410958335876	-0.0200966055843885	0.532856397361164
1:3501-3600	-1.35304195354501	0.00423827196361653	0.0810895353297725	-0.763109529769623	-0.4638753353586	0.404895276867391	-0.367292026247509	0.186342943174431	-0.539964175614523	-0.353755219839387
1:4001-4100	-1.84033242346675	-0.135325103239113	-0.122704870033201	-0.215655453442806	-0.253193243635792	0.12135592033734	-0.0103013928614862	0.0952523943100632	0.0295289414085344	0.145064645327231
1:4501-4600	-0.754126608948988	-0.277724521733203	-0.385143514498387	0.0764326484677625	-0.301678915772406	0.227698227588012	-0.0190097836934539	-0.214387340164331	-0.0584991706807002	-0.575916637633904
1:5001-5100	-0.785498169736401	-0.154935330396885	0.169305773901226	-0.208789942713283	-0.16026773952319	0.508242686249258	-0.436170123557124	-0.495553074905336	-0.175395864816075	-0.259301554994647
1:5501-5600	-1.11177317097723	0.0522931975858636	0.248944065011939	0.035994888592017	-0.279661985971396	-0.525894080443663	-0.291667296132979	-0.374798279552784	0.0470483198079652	0.193611215957281
1:6001-6100	-1.06564124137495	-0.00478343687148246	-0.556386460277808	0.065243539380505	0.0100557541451399	0.0641658000944039	0.102164760869561	-0.177523535483671	0.419457578737661	-0.301741946246468
1:6501-6600	-1.64666083537377	-0.000285381836094036	-0.142037161689453	0.307378132837412	-0.108550837324817	0.000743685333176826	-0.197195336989948	-0.182742419538967	-0.0923189968786097	0.13164758486971
1:7001-7100	-1.32744373971451	0.00493867466610792	-0.101379963753479	-0.0426973778412032	-0.119537046362855	0.0890207012308067	-0.333582568236374	-0.572705741261069	-0.0524872559138657	-0.661909451943194
1:7501-7600	-0.970609912558765	0.196038767028998	-0.811051679142824	0.0831828294499874	-0.287058968058619	-0.0303965814123191	0.124710961959656	-0.0526723273560979	0.471253632707956	-0.393795599536663
1:8001-8100	-0.820439469255935	-0.571414717249701	0.335281703558447	0.0180436038085902	-0.204125049607609	0.513494080639652	-0.115495237262561	0.361835782746568	0.261931271568309	0.231621103436369
1:8501-8600	-0.83158371511044	0.803439949608016	-0.244035614953014	0.273835398591407	0.102871867393417	-0.331550276811624	-0.530142464374308	0.046976846246505	0.127352781892515	-0.198001097362198
1:9001-9100	-0.754125760921174	0.182066245635354	-0.682508526444166	0.164434616981529	0.20060192498714	-0.175522610892288	-0.286781315988481	0.00874202453521685	0.0770137446099421	-0.197183492295938
1:9501-9600	-0.974669602599399	-0.121286346289629	0.376957881913773	-0.706561714680016	0.257228168903695	-0.178403908388666	-0.123533503879294	0.0921503602581124	-0.208833531973419	0.0984850306936365
1:10001-10100	-1.06985538660398	-0.27181170704539	-0.0791705801087289	-0.138228863783637	0.579614228983213	0.0735592482563443	-0.494007419281987	-0.0531191254060253	-0.136309820445613	0.363062405301204
1:10501-10600	-1.21001347936821	0.45422167842297	0.455101307045238	0.76097967751958	-0.221316743875334	0.10412031401825	0.537313925776097	-0.0618141569646387	-0.0335650582177921	0.137748468921769
1:11001-11100	-0.711028078510745	-0.105304446082646	-0.0979924616844114	0.1258618992717	-0.0154962263090299	0.0203501019128936	-0.323452059664144	-0.23949245904335	0.496069025757993	-0.77593060961179
1:11501-11600	-1.11920597341309	-0.114094124879374	-0.011578994704764	0.0576702228081524	0.183542207529879	-0.303508743621202	0.214331929921949	-0.0871516754274022	0.0886287305115884	0.0216812169977369
1:12001-12100	-0.723527914630838	-0.422013790622814	0.223051928067318	0.129454349283633	0.161130550340722	-0.00730990242952515	-0.0764403995320802	0.605059412484062	0.690701576155992	0.251096068313025
1:12501-12600	-0.907513111529417	-0.747473864565722	-0.088724545624266	-0.3948976715832	0.102283202273333	0.383134126468317	0.275677716871192	0.436059026935918	-0.042898505431056	-0.0961041128269428
1:13001-13100	-1.1059010553671	0.2633227286784	0.038642809950987	-0.575739238912498	-0.150508984991404	0.235201673056435	0.247465736227706	0.074454831299271	0.273132562663665	-0.0262597096989563
1:13501-13600	-0.989328026599988	-0.18804228034929	0.327912895664988	0.178313454836951	-0.278137906450987	-0.174812439928541	-0.22332869114268	-0.435274403533735	-0.190971610536114	-0.0453890387465217
1:14001-14100	-1.088126886489	0.0364388652998061	0.0619283269885655	0.474487018420722	-0.217881186464461	-0.413045732423773	-0.349696783044928	-0.635814263302572	0.00481017658272974	-0.327245418915636
1:14501-14600	-0.808353077355082	-0.118272477354234	-0.0241612345959509	0.263428112619425	0.14293339982699	-0.28125859770828	0.351496933831247	0.204717310521119	0.318567279639182	0.0192188648868468
1:15001-15100	-0.814685981615114	0.0253646909599916	0.0762771281151335	-0.615864044787221	0.708887539717248	-0.315016041925731	0.0493623484258994	-0.166771172645219	0.060824532155286	0.727336595160932
1:15501-15600	-0.674243484784904	-0.285959763440673	-0.0968997323336047	-0.269342668651755	0.203328378414691	-0.0914136260499022	-0.338410720401559	-0.506226295280675	0.0410957952649359	-0.194850477804635
1:16001-16100	-1.21377841577629	-0.0412988922111809	0.512747294570248	-0.54232449972164	-0.216769491522513	-0.27854636646725	-0.0508015177013725	0.000540440561632287	0.13582081102506	0.631973144218728
1:16501-16600	-0.853545421118171	-0.507707449216637	-0.369261440357487	-0.0383366260721079	-0.51921834298091	0.219391428374808	-0.303954455209847	0.293349933616607	-0.518732681517229	-0.353676991524774
